ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 5013,Country 136,Claim Number 9335,NISSAN,PATROL,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 4959,Country 136,Claim Number 9361,TOYOTA,LAND CRUISER 70,2017,2017,2. Four Wheel Drive, 200K to 250K ,"-1,000.00 "
Policy Number 8234,Country 136,Claim Number 15385,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8213,Country 136,Claim Number 15352,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8213,Country 136,Claim Number 15352,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8222,Country 136,Claim Number 15354,CHEVROLET,SILVERADO,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8226,Country 136,Claim Number 15372,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8214,Country 136,Claim Number 15376,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8216,Country 136,Claim Number 15343,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8206,Country 136,Claim Number 15394,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8244,Country 136,Claim Number 15401,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8195,Country 136,Claim Number 15357,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 8205,Country 136,Claim Number 15347,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 8205,Country 136,Claim Number 15383,GMC,SIERRA DENALI,2017,2017,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
